categoria_MLA,categoria_name,seller,state,city,grupo,cancellations_rate,claims_rate,delayed_handling_time_rate,avg_ticket
MLA5725,Accesorios para Vehículos,39460905,Capital Federal,Villa del Parque,relevancia alta-perfil medio,0.0,0.0044,0.0505,21893.0
MLA5725,Accesorios para Vehículos,739212249,Capital Federal,Floresta,relevancia media-perfil medio,0.0096,0.0055,0.0597,2224.0
MLA5725,Accesorios para Vehículos,99174498,Buenos Aires,Gerli,relevancia alta-perfil alto,0.0,0.0,0.0,5637.75
MLA5725,Accesorios para Vehículos,142125695,Capital Federal,Monte Castro,relevancia alta-perfil medio,0.0085,0.0095,0.0223,9571.008842300556
MLA5725,Accesorios para Vehículos,210648773,Buenos Aires,Caseros,relevancia alta-perfil medio,0.0064,0.0131,0.0127,18026.11
MLA5725,Accesorios para Vehículos,201167648,Santa Fe,Rosario,relevancia alta-perfil medio,0.0069,0.0124,0.09,15435.0
MLA5725,Accesorios para Vehículos,252377420,Capital Federal,Villa Urquiza,relevancia alta-perfil alto,0.0,0.0,0.006,20705.045454545456
MLA5725,Accesorios para Vehículos,247751990,Misiones,Puerto Rico,relevancia alta-perfil medio,0.0,0.0055,0.0171,13156.756097560976
MLA5725,Accesorios para Vehículos,520239526,Buenos Aires,Ituzaingó,relevancia alta-perfil medio,0.0078,0.009,0.0627,4732.96
MLA5725,Accesorios para Vehículos,96375501,Santa Fe,Cañada de Gomez,relevancia media-perfil medio,0.0,0.009,0.0093,1993.9061591695504
MLA5725,Accesorios para Vehículos,43200820,Capital Federal,Flores,relevancia alta-perfil alto,0.0,0.0,0.0334,51173.4462745098
MLA5725,Accesorios para Vehículos,44012389,Buenos Aires,Tigre,relevancia alta-perfil medio,0.0088,0.0107,0.0082,5665.906976744186
MLA5725,Accesorios para Vehículos,19876329,Capital Federal,Mataderos,relevancia alta-perfil medio,0.0141,0.0182,0.087,7267.532955029082
MLA5725,Accesorios para Vehículos,47840514,Capital Federal,Parque Chas,relevancia media-perfil medio,0.0041,0.0044,0.0434,2200.0
MLA5725,Accesorios para Vehículos,248231376,Buenos Aires,Caseros,relevancia alta-perfil medio,0.0,0.0061,0.0073,7057.25
MLA5725,Accesorios para Vehículos,9937333,Capital Federal,buenos aires,relevancia alta-perfil medio,0.0,0.0076,0.0075,14351.5
MLA5725,Accesorios para Vehículos,401255187,Capital Federal,Colegiales,relevancia media-perfil medio,0.0069,0.0103,0.0086,1112.971875
MLA5725,Accesorios para Vehículos,536612047,Buenos Aires,Florida,relevancia media-perfil medio,0.0073,0.0134,0.0105,497.6428571428572
MLA5725,Accesorios para Vehículos,177162137,Córdoba,Córdoba,relevancia alta-perfil medio,0.0094,0.0,0.1169,55982.58823529412
MLA5725,Accesorios para Vehículos,68235027,Capital Federal,Flores,relevancia media-perfil medio,0.0018,0.0168,0.0158,835.1702127659574
MLA5725,Accesorios para Vehículos,70990880,Capital Federal,Colegiales,relevancia media-perfil medio,0.0103,0.0132,0.0325,1615.6268788682582
MLA5725,Accesorios para Vehículos,105065,Buenos Aires,Olivos,relevancia media-perfil medio,0.0,0.0053,0.0158,1567.7585062240664
MLA5725,Accesorios para Vehículos,98271494,Capital Federal,Boedo,relevancia alta-perfil medio,0.0035,0.0062,0.0036,5384.820612244898
MLA5725,Accesorios para Vehículos,600332324,Capital Federal,Palermo,relevancia alta-perfil alto,0.0,0.0,0.0281,6980.0
MLA5725,Accesorios para Vehículos,195832205,Buenos Aires,Moreno,relevancia alta-perfil medio,0.0128,0.0182,0.0075,13009.977801778909
MLA5725,Accesorios para Vehículos,139305690,Santa Fe,Rosario,relevancia alta-perfil alto,0.0,0.0,0.0,8703.255319148937
MLA5725,Accesorios para Vehículos,64850897,Capital Federal,Villa Urquiza,relevancia alta-perfil medio,0.0005,0.0093,0.0058,19585.217391304348
MLA5725,Accesorios para Vehículos,59363807,Córdoba,Córdoba,relevancia alta-perfil medio,0.0012,0.007,0.0022,20813.13921958684
MLA5725,Accesorios para Vehículos,86580814,Capital Federal,San Nicolás,relevancia media-perfil medio,0.0,0.0049,0.0698,2893.6812749003984
MLA5725,Accesorios para Vehículos,76226771,Capital Federal,Villa Crespo,relevancia media-perfil medio,0.0016,0.0062,0.0434,1149.0
MLA5725,Accesorios para Vehículos,28785841,Capital Federal,DEVOTO,relevancia media-perfil medio,0.0029,0.0069,0.0045,1714.527950310559
MLA5725,Accesorios para Vehículos,553765244,Capital Federal,Villa Devoto,relevancia media-perfil medio,0.0015,0.0163,0.0114,1999.0
MLA5725,Accesorios para Vehículos,712921472,Capital Federal,Belgrano,relevancia media-perfil medio,0.003,0.0122,0.0074,1667.0
MLA5725,Accesorios para Vehículos,263770607,Santa Fe,Rosario,relevancia media-perfil medio,0.0,0.009,0.0126,3083.116417910448
MLA5725,Accesorios para Vehículos,47316577,Capital Federal,Almagro,relevancia alta-perfil medio,0.0053,0.0142,0.0127,6477.450831600831
MLA5725,Accesorios para Vehículos,142692548,Córdoba,Córdoba,relevancia alta-perfil alto,0.0,0.0,0.0,3810.714285714286
MLA5725,Accesorios para Vehículos,86669129,Capital Federal,Villa del Parque,relevancia media-perfil medio,0.004,0.0052,0.0015,689.0
MLA5725,Accesorios para Vehículos,458652982,Capital Federal,San Cristóbal,relevancia alta-perfil medio,0.0008,0.0055,0.0085,3592.6666666666665
MLA5725,Accesorios para Vehículos,454997330,Capital Federal,Chacarita,relevancia media-perfil medio,0.0,0.0035,0.0025,1386.0
MLA5725,Accesorios para Vehículos,217001849,Buenos Aires,Moreno,relevancia media-perfil medio,0.0086,0.0125,0.0259,2754.65
MLA5725,Accesorios para Vehículos,290821079,Buenos Aires,Bahía Blanca,relevancia alta-perfil medio,0.0085,0.0054,0.1136,4764.772959472196
MLA5725,Accesorios para Vehículos,133509398,Buenos Aires,Ramos Mejía,relevancia alta-perfil medio,0.0009,0.0076,0.0178,6750.8447883477465
MLA5725,Accesorios para Vehículos,7386518,Buenos Aires,Lanús Oeste,relevancia alta-perfil medio,0.0029,0.0102,0.0146,15925.25
MLA5725,Accesorios para Vehículos,82933782,Buenos Aires,Lomas de Zamora,relevancia alta-perfil medio,0.0,0.0091,0.0035,6193.626666666667
MLA5725,Accesorios para Vehículos,480154878,Capital Federal,Ciudad Autónoma de Buenos Aires,relevancia alta-perfil alto,0.0,0.0,0.0237,20689.0
MLA5725,Accesorios para Vehículos,74326907,Capital Federal,Floresta,relevancia alta-perfil medio,0.0103,0.0051,0.0701,3840.787272727273
MLA5725,Accesorios para Vehículos,181748368,Buenos Aires,9 de Abril,relevancia alta-perfil medio,0.0035,0.0075,0.0704,32824.387559808616
MLA5725,Accesorios para Vehículos,227286531,Buenos Aires,Temperley,relevancia alta-perfil alto,0.0,0.0,0.0,9019.34
MLA5725,Accesorios para Vehículos,169232216,Capital Federal,Parque Chacabuco,relevancia alta-perfil medio,0.0139,0.0095,0.1002,18873.94
MLA5725,Accesorios para Vehículos,89687406,Buenos Aires,Morón,relevancia media-perfil alto,0.0,0.0,0.0136,3090.0
MLA5725,Accesorios para Vehículos,51855129,Capital Federal,buenos aires,relevancia media-perfil medio,0.0085,0.0099,0.0561,1496.8868965517242
MLA5725,Accesorios para Vehículos,470793378,Salta,San Ramon de la Nueva Oran,relevancia alta-perfil alto,0.0,0.0,0.1194,19365.18681318681
MLA5725,Accesorios para Vehículos,637390330,Capital Federal,Villa Devoto,relevancia media-perfil alto,0.0,0.0,0.1312,1999.0
MLA5725,Accesorios para Vehículos,345186109,Buenos Aires,Isidro Casanova,relevancia media-perfil medio,0.0055,0.0,0.0234,526.0
MLA5725,Accesorios para Vehículos,15614665,Buenos Aires,González Catan,relevancia alta-perfil medio,0.0039,0.0113,0.0293,7142.25
MLA5725,Accesorios para Vehículos,76763631,La Pampa,Santa Rosa,relevancia alta-perfil medio,0.0132,0.0132,0.0833,39700.17730593607
MLA5725,Accesorios para Vehículos,90515706,Capital Federal,CABA,relevancia media-perfil medio,0.0142,0.0103,0.0,1645.0
MLA5725,Accesorios para Vehículos,480396830,Santa Fe,Villa Gobernador Galvez,relevancia alta-perfil medio,0.0069,0.0,0.0064,7168.993640699523
MLA5725,Accesorios para Vehículos,158790467,Buenos Aires,Monte Chingolo,relevancia alta-perfil alto,0.0,0.0,0.129,9433.333333333334
MLA5725,Accesorios para Vehículos,726555418,Buenos Aires,Villa Lynch,relevancia alta-perfil medio,0.0113,0.0119,0.0062,8304.882
MLA5725,Accesorios para Vehículos,191288356,Buenos Aires,San Miguel,relevancia alta-perfil medio,0.0039,0.017,0.0321,3916.857142857143
MLA5725,Accesorios para Vehículos,144898377,Buenos Aires,José León Suárez,relevancia media-perfil alto,0.0,0.0041,0.0,3309.6666666666665
MLA5725,Accesorios para Vehículos,31541974,Buenos Aires,Avellaneda,relevancia alta-perfil medio,0.0037,0.0037,0.0263,3974.75
MLA5725,Accesorios para Vehículos,81722681,Buenos Aires,Temperley,relevancia alta-perfil alto,0.0,0.0,0.0079,5905.0
MLA5725,Accesorios para Vehículos,156397749,Capital Federal,Constitución,relevancia alta-perfil medio,0.0082,0.0,0.1032,36841.25679758308
MLA5725,Accesorios para Vehículos,480471547,Buenos Aires,Florencio Varela,relevancia alta-perfil medio,0.0,0.0069,0.0028,3999.041095890411
MLA5725,Accesorios para Vehículos,242843476,Capital Federal,San Cristóbal,relevancia alta-perfil medio,0.0012,0.0106,0.0038,4782.0
MLA5725,Accesorios para Vehículos,192080961,Buenos Aires,Burzaco,relevancia alta-perfil medio,0.0065,0.016,0.0156,4450.716774193548
MLA5725,Accesorios para Vehículos,47973350,Capital Federal,Caballito,relevancia alta-perfil medio,0.006,0.0152,0.0071,5174.266619589977
MLA5725,Accesorios para Vehículos,37133205,Capital Federal,Villa Ortúzar,relevancia alta-perfil medio,0.004,0.0147,0.0338,21944.49470732124
MLA5725,Accesorios para Vehículos,384024674,Chubut,Comodoro Rivadavia,relevancia alta-perfil alto,0.0,0.0,0.0416,43007.93716337522
MLA5725,Accesorios para Vehículos,157760684,Capital Federal,Floresta,relevancia media-perfil medio,0.0,0.012,0.064,1260.0
MLA5725,Accesorios para Vehículos,188047919,Capital Federal,Floresta,relevancia media-perfil medio,0.0042,0.0074,0.0167,1510.25
MLA5725,Accesorios para Vehículos,73847302,Capital Federal,Balvanera,relevancia media-perfil medio,0.0,0.0071,0.0018,1552.435
MLA5725,Accesorios para Vehículos,30433628,Buenos Aires,Ituzaingó,relevancia media-perfil medio,0.0,0.009,0.0522,2932.75
MLA5725,Accesorios para Vehículos,422682314,Buenos Aires,Vicente López,relevancia media-perfil medio,0.0048,0.0042,0.0156,1907.5260869565216
MLA5725,Accesorios para Vehículos,214378041,Buenos Aires,Caseros,relevancia alta-perfil medio,0.0,0.0085,0.0151,4332.75
MLA5725,Accesorios para Vehículos,403236612,Buenos Aires,San Martin,relevancia media-perfil medio,0.0,0.0087,0.0411,2366.222222222222
MLA5725,Accesorios para Vehículos,793870871,Capital Federal,Caba,relevancia alta-perfil alto,0.0,0.0,0.0,22137.0
MLA5725,Accesorios para Vehículos,180347908,Buenos Aires,Merlo,relevancia alta-perfil medio,0.0,0.0041,0.0021,10265.192857142858
MLA5725,Accesorios para Vehículos,39144101,Capital Federal,Villa Ortúzar,relevancia alta-perfil medio,0.0068,0.0139,0.041,10011.3442951433
MLA5725,Accesorios para Vehículos,26865442,Capital Federal,Liniers,relevancia alta-perfil alto,0.0,0.0,0.0,5624.44
MLA5725,Accesorios para Vehículos,470098203,Buenos Aires,Villa Ballester,relevancia alta-perfil alto,0.0,0.0,0.0147,6190.0
MLA5725,Accesorios para Vehículos,76678225,Capital Federal,ONCE,relevancia alta-perfil medio,0.004,0.0126,0.0015,5952.356666666667
MLA5725,Accesorios para Vehículos,10429489,Buenos Aires,INGENIERO JUAN ALLAN,relevancia alta-perfil medio,0.0024,0.0024,0.021,4066.0
MLA5725,Accesorios para Vehículos,236428209,Buenos Aires,San Vicente,relevancia media-perfil medio,0.0,0.006,0.0513,1999.0
MLA5725,Accesorios para Vehículos,255344164,Capital Federal,Núñez,relevancia alta-perfil medio,0.0041,0.0099,0.0105,3573.5580289855075
MLA5725,Accesorios para Vehículos,46998635,Buenos Aires,Beccar,relevancia alta-perfil medio,0.0077,0.0077,0.0249,6490.0
MLA5725,Accesorios para Vehículos,12194693,Capital Federal,Colegiales,relevancia media-perfil medio,0.0072,0.0109,0.0082,2523.484210526316
MLA5725,Accesorios para Vehículos,163313092,Córdoba,CAPITAL,relevancia alta-perfil medio,0.0,0.0023,0.0067,4279.0
MLA5725,Accesorios para Vehículos,240353450,Buenos Aires,La Plata,relevancia alta-perfil medio,0.0,0.0083,0.0222,47015.0
MLA5725,Accesorios para Vehículos,96527952,Capital Federal,Villa Devoto,relevancia media-perfil medio,0.0077,0.0096,0.0184,1910.0
MLA5725,Accesorios para Vehículos,212838474,Capital Federal,Villa Pueyrredón,relevancia media-perfil medio,0.0049,0.0117,0.0708,3451.23
MLA5725,Accesorios para Vehículos,44952340,Buenos Aires,Villa Ballester,relevancia alta-perfil medio,0.0,0.0112,0.0016,7183.529411764706
MLA5725,Accesorios para Vehículos,294473281,Capital Federal,Buenos Aires,relevancia media-perfil medio,0.0011,0.0065,0.0025,1179.8952607910212
MLA5725,Accesorios para Vehículos,70513647,Buenos Aires,Lomas de Zamora,relevancia alta-perfil medio,0.0039,0.0139,0.0168,7304.880715705765
